"crash_severity","collision_type","weather","light","road_surface","traffic_control","city","year","fatality","injury","id","Geometry"
"Fatal","Unknown","Clear","Daylight","Dry","Other Warning Sign","Champaign","2007","1","0","3317","POINT (-88.2681800363888 40.1273093621829)"
"Fatal","Unknown","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2007","1","0","3318","POINT (-88.2468881776619 40.1254795260126)"
"Fatal","Unknown","Clear","Darkness","Dry","Lane Use Marking","Ludlow","2007","1","0","3319","POINT (-88.1211252917639 40.3968600166722)"
"Fatal","Fixed object","Clear","Daylight","Dry","Lane Use Marking","Rantoul","2007","1","2","3320","POINT (-88.1842591240664 40.3089050936983)"
"Fatal","Other object","Clear","Darkness, lighted road","Dry","Other Warning Sign","Savoy","2007","1","0","3321","POINT (-88.2472491452741 40.081239224819)"
"Fatal","Rear end","Snow","Daylight","Snow or slush","Lane Use Marking","Urbana","2007","1","1","3323","POINT (-88.2315429582885 40.1348546354578)"
"Fatal","Unknown","Clear","Darkness, lighted road","Dry","No Controls","Urbana","2007","1","0","3324","POINT (-88.2119563271168 40.0982689784893)"
"Fatal","Angle","Clear","Darkness, lighted road","Dry","Stop Sign/Flasher","Champaign","2008","1","1","3325","POINT (-88.2578012013808 40.1116991143312)"
"Fatal","Fixed object","Clear","Daylight","Ice","No Controls","Unincorporated","2008","1","1","3326","POINT (-87.9946018834075 39.973815729636)"
"Fatal","Head on","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2008","1","0","3327","POINT (-88.3941063609208 40.2626426760878)"
"Fatal","Head on","FOG/SMOKE/HAZE","Daylight","Wet","No Controls","Unincorporated","2008","1","1","3328","POINT (-88.2803206764398 40.0250275728509)"
"Fatal","Head on","Clear","Daylight","Dry","Lane Use Marking","OGDEN","2008","2","1","3329","POINT (-87.9633901331956 40.1118439683916)"
"Fatal","Fixed object","Clear","Darkness","Wet","No Controls","Champaign","2008","1","2","3330","POINT (-88.2565935876816 40.1144001151359)"
"Fatal","Pedestrian","Clear","Darkness","Dry","No Controls","Unincorporated","2008","1","0","3331","POINT (-88.1623897304649 40.0958474994821)"
"Fatal","Overturned","Clear","Darkness","Dry","No Controls","Unincorporated","2008","1","0","3332","POINT (-88.3323870940898 40.2818165027469)"
"Fatal","Overturned","Clear","Darkness","Dry","No Controls","Unincorporated","2008","1","1","3333","POINT (-88.0595188322755 40.297920237946)"
"Fatal","Fixed object","Clear","Darkness","Dry","No Controls","Unincorporated","2008","1","0","3335","POINT (-88.2125620851726 40.2312840873341)"
"Fatal","Fixed object","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2008","1","0","3336","POINT (-88.1378461863125 40.3817150938412)"
"Fatal","Rear end","Rain","Darkness","Wet","Lane Use Marking","Unincorporated","2008","2","1","3337","POINT (-88.0047775228234 39.9085297678984)"
"Fatal","Rear end","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2008","1","2","3338","POINT (-88.0590850001116 40.1203998790288)"
"Fatal","Turning","Clear","Daylight","Dry","No Controls","SAVOY","2008","1","1","3339","POINT (-88.2520190247593 40.0506601963738)"
"Fatal","Head on","Snow","Daylight","Ice","No Controls","Champaign","2008","1","0","3340","POINT (-88.2632876394472 40.1344854493959)"
"Fatal","Other non collision","Clear","Darkness","Dry","No Controls","Urbana","2008","1","0","3341","POINT (-88.1974197427429 40.1301606126992)"
"Fatal","Fixed object","Clear","Darkness","Dry","Stop Sign/Flasher","Unincorporated","2008","2","0","3342","POINT (-88.365320470954 40.2076887621417)"
"Fatal","Rear end","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2008","1","1","3343","POINT (-88.2950344328591 40.1361949186743)"
"Fatal","Head on","Clear","Daylight","Wet","Lane Use Marking","Urbana","2008","1","3","3344","POINT (-88.2235899082029 40.1349357289984)"
"Fatal","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Urbana","2009","1","0","3345","POINT (-88.2144300051288 40.116460255706)"
"Fatal","Fixed object","Clear","Darkness","Dry","No Controls","Unincorporated","2009","1","0","3346","POINT (-88.1406862556229 40.0257685422685)"
"Fatal","Head on","Rain","Dawn","Wet","No Controls","Unincorporated","2009","2","0","3347","POINT (-88.3001765936056 40.1130918975086)"
"Fatal","Angle","Clear","Daylight","Dry","Stop Sign/Flasher","Unincorporated","2009","1","2","3348","POINT (-88.2395509403479 40.1708902804434)"
"Fatal","Turning","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2009","1","3","3349","POINT (-88.4602602405763 40.3110003518605)"
"Fatal","Pedestrian","Clear","Darkness","Dry","No Controls","Unincorporated","2009","1","0","3350","POINT (-88.365320145246 40.1980559161844)"
"Fatal","Pedalcyclist","Clear","Darkness","Dry","Lane Use Marking","Urbana","2009","1","0","3351","POINT (-88.2210743189357 40.1105456634408)"
"Fatal","Fixed object","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2009","1","1","3352","POINT (-88.1609781978669 39.9323732829678)"
"Fatal","Pedestrian","Clear","Darkness, lighted road","Dry","Lane Use Marking","Urbana","2009","1","0","3353","POINT (-88.2238760648363 40.1350574396831)"
"Fatal","Rear end","Clear","Darkness, lighted road","Dry","Lane Use Marking","Urbana","2009","1","4","3354","POINT (-88.2284440549206 40.1350141549273)"
"Fatal","Rear end","Clear","Dusk","Dry","Lane Use Marking","Unincorporated","2009","1","0","3355","POINT (-88.1348851840242 40.120571300834)"
"Fatal","Train","Clear","Darkness, lighted road","Dry","RR Crossing Gate","Champaign","2010","1","0","3356","POINT (-88.2363035683518 40.1272713448812)"
"Fatal","Overturned","Other","Darkness","Wet","No Controls","Unincorporated","2010","1","0","3357","POINT (-88.4581945387514 40.0254977663486)"
"Fatal","Overturned","Other","Dawn","Ice","No Controls","Unincorporated","2010","1","0","3358","POINT (-87.9877045997276 40.3179159050398)"
"Fatal","Pedestrian","Fog/Smoke/Haze","Darkness, lighted road","Wet","Other","Champaign","2010","1","0","3359","POINT (-88.250842915163 40.0981083157634)"
"Fatal","Fixed object","Sleet/Hail","Daylight","Ice","No Controls","Unincorporated","2010","1","0","3360","POINT (-88.2579894478663 39.9371285693795)"
"Fatal","Head on","Snow","Darkness","Snow or Slush","Lane Use Marking","Unincorporated","2010","1","1","3361","POINT (-88.3365651548348 40.1776660979444)"
"Fatal","Overturned","Clear","Daylight","Dry","Police/Flagman","Unincorporated","2010","1","0","3362","POINT (-88.3192645130075 40.1132734184281)"
"Fatal","Angle","Clear","Darkness","Dry","Stop Sign/Flasher","Champaign","2010","1","1","3363","POINT (-88.2500451592103 40.1126086503671)"
"Fatal","Overturned","Clear","Daylight","Dry","Other Regualtory Sig","Unincorporated","2010","1","0","3364","POINT (-88.1650118180389 40.3417731675872)"
"Fatal","Pedestrian","Clear","Dusk","Dry","No Controls","Urbana","2010","1","0","3365","POINT (-88.2094619046982 40.1124233766336)"
"Fatal","Angle","Clear","Daylight","Dry","No Controls","Unincorporated","2010","1","4","3366","POINT (-88.0783688932518 40.2542001362803)"
"Fatal","Turning","Clear","Daylight","Dry","Stop Sign/Flasher","Unincorporated","2010","1","2","3367","POINT (-88.2366706124252 39.9082888697601)"
"Fatal","Fixed object","Fog/Smoke/Haze","Dawn","Dry","Lane Use Marking","Unincorporated","2010","1","0","3368","POINT (-88.0068507773878 40.3129055262568)"
"Fatal","Pedestrian","Clear","Darkness, lighted road","Dry","Lane Use Marking","Champaign","2010","1","0","3369","POINT (-88.2724932444136 40.112801800305)"
"Fatal","Rear end","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2010","1","1","3371","POINT (-87.9680939843835 40.1197601812043)"
"Fatal","Sideswipe Opposite Direction","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2010","1","0","3372","POINT (-88.3037737546197 40.0147122281601)"
"Fatal","Fixed object","Clear","Darkness","Dry","No Controls","Unincorporated","2010","1","1","3373","POINT (-88.1954654180506 39.9232503673594)"
"Fatal","Overturned","Clear","Daylight","Ice","Other Regualtory Sig","Unincorporated","2010","1","0","3374","POINT (-88.2527281724005 40.2241233988679)"
"Fatal","Fixed object","Clear","Daylight","Dry","No Controls","Urbana","2011","1","0","3375","POINT (-88.1965598431168 40.1323992210714)"
"Fatal","Fixed object","Clear","Darkness","Dry","Other Warning Sign","Unincorporated","2011","1","0","3376","POINT (-88.0144146875112 40.0475321499989)"
"Fatal","Pedalcyclist","Clear","Daylight","Dry","No Controls","Unincorporated","2011","1","1","3377","POINT (-88.3698391356001 40.1477644951671)"
"Fatal","Head on","Clear","Daylight","Dry","Lane Use Marking","Champaign","2011","1","2","3378","POINT (-88.2802961093111 40.1429496663309)"
"Fatal","Overturned","Clear","Daylight","Dry","No Controls","Champaign","2011","1","0","3379","POINT (-88.236922479676 40.1163480594709)"
"Fatal","Fixed object","Fog/Smoke/Haze","Dawn","Dry","No Controls","Unincorporated","2011","1","0","3380","POINT (-88.1616244354724 40.0255392286266)"
"Fatal","Pedalcyclist","Clear","Darkness","Dry","Stop Sign/Flasher","Champaign","2011","1","0","3381","POINT (-88.2389207435103 40.1352585336411)"
"Fatal","Fixed object","Clear","Daylight","Dry","No Controls","Unincorporated","2011","1","0","3382","POINT (-88.1808292640534 40.0546983648022)"
"Fatal","Fixed object","Rain","Darkness","Wet","No Controls","Unincorporated","2011","1","0","3383","POINT (-88.2940768815929 39.9870067779609)"
"Fatal","Pedestrian","Clear","Darkness","Ice","No Controls","Champaign","2011","1","0","3384","POINT (-88.2952108503235 40.0927475956363)"
"Fatal","Pedestrian","Rain","Darkness","Wet","Traffic Signal","Urbana","2011","1","0","3385","POINT (-88.2128199747718 40.116488673335)"
"Fatal","Pedestrian","Rain","Darkness, lighted road","Wet","Traffic Signal","Rantoul","2011","1","0","3386","POINT (-88.155799676328 40.3081906655675)"
"Fatal","Head on","Clear","Dawn","Dry","Lane Use Marking","Unincorporated","2012","1","1","3387","POINT (-88.441695917351 40.3109500013532)"
"Fatal","Fixed object","Clear","Daylight","Dry","Lane Use Marking","Mahomet","2012","1","0","3388","POINT (-88.3697148353953 40.1888810185311)"
"Fatal","Rear end","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2012","1","1","3389","POINT (-88.1447284804362 40.3684452009439)"
"Fatal","Pedestrian","Clear","Darkness, lighted road","Dry","Lane Use Marking","Urbana","2012","1","0","3390","POINT (-88.2095405767871 40.1165100007473)"
"Fatal","Parked Motor Vehicle","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2012","1","1","3391","POINT (-88.2111697694023 40.1892485072642)"
"Fatal","Angle","Fog/Smoke/Haze","Daylight","Dry","Stop Sign/Flasher","Unincorporated","2012","1","1","3392","POINT (-87.9585200007596 40.0762199988664)"
"Fatal","Fixed object","Rain","Darkness","Wet","No Controls","Unincorporated","2012","1","0","3393","POINT (-88.1079116751127 40.0257590678918)"
"Fatal","Fixed object","Clear","Darkness","Dry","No Controls","Unincorporated","2012","1","2","3394","POINT (-88.3727760033504 40.2069547486483)"
"Fatal","Fixed object","Clear","Darkness","Dry","No Controls","Unincorporated","2012","1","0","3395","POINT (-87.9769630967462 40.0424647464524)"
"Fatal","Fixed object","Clear","Darkness","Dry","Lane Use Marking","Champaign","2012","1","0","3396","POINT (-88.3041080279814 40.1278615334893)"
"Fatal","Overturned","Clear","Darkness","Dry","Other Warning Sign","Unincorporated","2012","1","0","3397","POINT (-88.0618105912465 40.0537120652275)"
"Fatal","Pedalcyclist","Clear","Darkness, lighted road","Dry","No Controls","Champaign","2012","1","0","3398","POINT (-88.2828291545506 40.1128159897989)"
"Fatal","Angle","Clear","Daylight","Dry","Stop Sign/Flasher","Unincorporated","2013","1","2","3399","POINT (-88.4260800010065 40.0551199992842)"
"Fatal","Overturned","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2013","1","0","3400","POINT (-88.3220648804484 40.1728676865887)"
"Fatal","Overturned","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2013","1","3","3401","POINT (-88.3040094893782 40.0077967808366)"
"Fatal","Fixed object","Snow","Daylight","Wet","Lane Use Marking","Champaign","2013","1","1","3402","POINT (-88.286181365479 40.1451859091487)"
"Fatal","Fixed object","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2013","1","0","3403","POINT (-88.354803929699 40.1203830456773)"
"Fatal","Turning","Clear","Daylight","Dry","Traffic Signal","Champaign","2013","1","3","3404","POINT (-88.3142900016643 40.0986899998656)"
"Fatal","Head on","Snow","Daylight","Snow or Slush","Lane Use Marking","Unincorporated","2013","2","1","3405","POINT (-88.2894898096776 40.2718119716865)"
"Fatal","Fixed object","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2013","1","0","3406","POINT (-88.3938643482837 40.2316256391515)"
"Fatal","Angle","Clear","Daylight","Dry","No Controls","Unincorporated","2013","1","0","3407","POINT (-88.1038397470052 39.909129998654)"
"Fatal","Head on","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2013","1","1","3408","POINT (-88.3147871037776 40.138477811644)"
"Fatal","Head on","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2013","1","1","3409","POINT (-88.0125365425146 40.1120340666654)"
"Fatal","Fixed object","Rain","Daylight","Wet","Lane Use Marking","Unincorporated","2013","1","0","3410","POINT (-87.9956003051022 40.1865298609756)"
"Fatal","Rear end","Clear","Daylight","Dry","Lane Use Marking","Urbana","2013","1","0","3411","POINT (-88.1767239364817 40.1225713424345)"
"Fatal","Angle","Rain","Darkness","Wet","Stop Sign/Flasher","Champaign","2013","1","0","3412","POINT (-88.2619706635368 40.1490691146614)"
"Fatal","Overturned","Other","Darkness","Wet","No Controls","Unincorporated","2013","1","0","3413","POINT (-88.1421600279834 39.9675099992169)"
"Fatal","Fixed object","Clear","Darkness","Dry","No Controls","Unincorporated","2013","1","0","3414","POINT (-88.0448004531128 40.3564714993045)"
"Fatal","Fixed object","Clear","Daylight","Dry","Lane Use Marking","Urbana","2013","1","1","3415","POINT (-88.2192403247767 40.1059958491258)"
"Fatal","Fixed object","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2014","1","3","3416","POINT (-88.1970954047634 40.2384017603125)"
"Fatal","Fixed object","Clear","Darkness","Dry","No Controls","Unincorporated","2014","1","0","3417","POINT (-88.3336318781399 40.1423374816484)"
"Fatal","Fixed object","Clear","Daylight","Dry","No Controls","Unincorporated","2014","1","0","3418","POINT (-88.4457104253659 40.1238701049048)"
"Fatal","Angle","Clear","Dusk","Dry","Lane Use Marking","Mahomet","2014","1","0","3419","POINT (-88.3950908196769 40.2035400616358)"
"Fatal","Fixed object","Rain","Daylight","Snow or Slush","Other","Champaign","2014","1","1","3420","POINT (-88.2812687737281 40.1464295749911)"
"Fatal","Train","Fog/Smoke/Haze","Darkness","Dry","Other RR Crossing","Unincorporated","2014","1","0","3421","POINT (-88.2976809487692 40.1421300009174)"
"Fatal","Angle","Clear","Daylight","Dry","Traffic Signal","Champaign","2014","1","1","3422","POINT (-88.2579800010524 40.132169999523)"
"Fatal","Turning","Snow","Daylight","Snow or Slush","Stop Sign/Flasher","Champaign","2014","1","1","3423","POINT (-88.2485154920484 40.1491578518924)"
"Fatal","Turning","Clear","Darkness, lighted road","Dry","Traffic Signal","Urbana","2014","1","1","3424","POINT (-88.2193800014906 40.1164299993356)"
"Fatal","Turning","Clear","Daylight","Dry","Traffic Signal","Urbana","2014","1","2","3425","POINT (-88.2128186771125 40.1164907568937)"
"Fatal","Turning","Clear","Darkness, lighted road","Dry","Traffic Signal","Rantoul","2014","1","0","3426","POINT (-88.19384000072 40.3098600020349)"
"Fatal","Angle","Clear","Darkness","Dry","No Controls","Unincorporated","2014","1","1","3427","POINT (-88.2513209035743 40.2675599934557)"
"Fatal","Fixed object","Snow","Daylight","Snow or Slush","Lane Use Marking","Unincorporated","2014","1","2","3428","POINT (-88.0810055449431 40.120578524359)"
"Fatal","Head on","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2014","3","2","3429","POINT (-87.9585200007596 40.0762199988664)"
"Fatal","Rear end","Clear","Darkness","Dry","Lane Use Marking","St Joseph","2014","1","2","3430","POINT (-88.0438866499282 40.1202721146151)"
"Fatal","Angle","Clear","Daylight","Dry","No Controls","Unincorporated","2015","2","2","3431","POINT (-88.425579537217 39.9513397823882)"
"Fatal","Angle","Clear","Daylight","Dry","Stop Sign/Flasher","Unincorporated","2015","1","1","3432","POINT (-88.2378615812193 40.0104703700231)"
"Fatal","Fixed Object","Rain","Darkness","Wet","Lane Use Marking","Unincorporated","2015","1","8","3433","POINT (-88.3035969114629 39.9971274010249)"
"Fatal","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2015","1","0","3434","POINT (-88.209629129054 40.1055793070674)"
"Fatal","Fixed Object","Severe Cross Wind","Daylight","Ice","No Controls","Unincorporated","2015","1","0","3435","POINT (-88.2102605562277 40.06911674587)"
"Fatal","Pedestrian","Clear","Darkness","Dry","Lane Use Marking","Urbana","2015","1","0","3436","POINT (-88.1914035061912 40.140752684443)"
"Fatal","Train","Clear","Darkness, Lighted Road","Dry","RR Crossing Gate","Champaign","2015","1","0","3437","POINT (-88.2360378449574 40.1272699157515)"
"Fatal","Pedestrian","Clear","Darkness, Lighted Road","Dry","Lane Use Marking","Champaign","2015","1","0","3438","POINT (-88.2421672760822 40.1272092263622)"
"Fatal","Turning","Clear","Daylight","Dry","Traffic Signal","Champaign","2015","1","0","3439","POINT (-88.2436878297308 40.1370194801962)"
"Fatal","Fixed Object","Clear","Daylight","Dry","No Controls","Champaign","2015","1","2","3440","POINT (-88.2713010236913 40.1304408878225)"
"Fatal","Sideswipe Same Direction","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2015","1","3","3441","POINT (-88.1408637007907 40.3762433551037)"
"Fatal","Head On","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2015","1","2","3442","POINT (-88.3848318601828 40.3294109118126)"
"Fatal","Overturned","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2015","1","3","3443","POINT (-88.1836368855511 40.2935542643362)"
"Fatal","Fixed Object","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2015","1","1","3444","POINT (-87.9489211616135 40.2914549890836)"
"Fatal","Pedestrian","Fog/Smoke/Haze","Darkness, lighted road","Wet","Other","Champaign","2010","1","0","3449","POINT (-88.250842915163 40.0981083157634)"
"Fatal","Pedestrian","Clear","Dusk","Dry","No Controls","Urbana","2010","1","0","3461","POINT (-88.2094619046982 40.1124233766336)"
"Fatal","Pedestrian","Clear","Darkness, lighted road","Dry","Lane Use Marking","Champaign","2010","1","0","3465","POINT (-88.2724932444136 40.112801800305)"
"Fatal","Pedestrian","Clear","Darkness","Ice","No Controls","Champaign","2011","1","0","3521","POINT (-88.2952108503235 40.0927475956363)"
"Fatal","Pedestrian","Rain","Darkness","Wet","Traffic Signal","Urbana","2011","1","0","3522","POINT (-88.2128199747718 40.116488673335)"
"Fatal","Pedestrian","Rain","Darkness, lighted road","Wet","Traffic Signal","Rantoul","2011","1","0","3529","POINT (-88.155799676328 40.3081906655675)"
"Fatal","Pedestrian","Clear","Darkness, lighted road","Dry","Lane Use Marking","Urbana","2012","1","0","3541","POINT (-88.2095405767871 40.1165100007473)"
"Fatal","Pedestrian","Clear","Daylight","Dry","Lane Use Marking","Champaign","2005","1","0","3675","POINT (-88.2469286585144 40.1347510603195)"
"Fatal","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2005","1","0","3685","POINT (-88.2303310649335 40.106869885038)"
"Fatal","Pedestrian","Clear","Daylight","Dry","No Controls","Champaign","2005","1","0","3715","POINT (-88.2734324870798 40.1050861082534)"
"Fatal","Pedestrian","Clear","Darkness, lighted road","Dry","Unknown","Urbana","2007","1","0","3727","POINT (-88.2119563271168 40.0982689784893)"
"Fatal","Pedestrian","Clear","Daylight","Dry","Unknown","Champaign","2007","1","0","3743","POINT (-88.2468881776609 40.1254795268361)"
"Fatal","Pedestrian","Clear","Darkness","Dry","No Controls","Unincorporated","2008","1","0","3784","POINT (-88.1623897304649 40.0958474994821)"
"Fatal","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Urbana","2009","1","0","3814","POINT (-88.2144300051288 40.116460255706)"
"Fatal","Pedestrian","Clear","Darkness","Dry","No Controls","Unincorporated","2009","1","0","3827","POINT (-88.365320145246 40.1980559161844)"
"Fatal","Pedestrian","Clear","Darkness, lighted road","Dry","Lane Use Marking","Urbana","2009","1","0","3845","POINT (-88.2238760648363 40.1350574396831)"
"Fatal","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Mahomet","2006","1","0","3859","POINT (-88.4103563600608 40.2002228372178)"
"Fatal","Pedestrian","Clear","Darkness, Lighted Road","Dry","Lane Use Marking","Champaign","2015","1","0","3927","POINT (-88.2421672760822 40.1272092263622)"
"Fatal","Turning","Clear","Daylight","Dry","No Controls","Champaign","2008","1","0","3334","POINT (-88.273370468222 40.1487267701078)"
"Fatal","Pedestrian","Clear","Darkness","Dry","No Controls","Urbana","2006","1","0","3895","POINT (-88.1844244035989 40.1420286026266)"
"Fatal","Angle","Clear","Daylight","Dry","Stop sign / flasher","Unincorporated","1999","2","5","3263","GEOMETRYCOLLECTION EMPTY"
"Fatal","Overturned","Clear","Daylight","Dry","No Controls","Unincorporated","2010","1","1","3370","POINT (-88.2771335519316 40.1643746307371)"
"Fatal","Pedestrian","Clear","Daylight","Dry","Unknown","Champaign","2007","1","0","3762","POINT (-88.2681800363888 40.1273093621829)"
"Fatal","Pedestrian","Clear","Daylight","Dry","Stop Sign/Flasher","Urbana","2015","1","0","3906","POINT (-88.209629129054 40.1055793070674)"
"Fatal","Pedestrian","Clear","Darkness","Dry","Lane Use Marking","Urbana","2015","1","0","3911","POINT (-88.1914035061912 40.140752684443)"
"Fatal","Fixed object","Clear","Daylight","Dry","No Controls","Urbana","2007","1","0","3322","POINT (-88.1952656723602 40.1359205193735)"
